Year,Winner,Runner Up,Player of the Series,Player of the Match
2024,Kolkata Knight Riders,Sunrisers Hyderabad,Sunil Narine,Mitchell Starc
2023,Chennai Super Kings,Gujarat Titans,Shubman Gill,Devon Conway
2022,Gujarat Titans,Rajasthan Royals ,Jos Buttler,Hardik Pandya
2021,Chennai Super Kings,Kolkata Knight Riders,Harshal Patel,Faf du Plessis
2020,Mumbai Indians,Delhi Capitals,Jofra Archer,Trent Boult
2019,Mumbai Indians,Chennai Super Kings,Andre Russell,Jasprit Bumrah
2018,Chennai Super Kings,Sunrisers Hyderabad,Sunil Narine,Shane Watson
2017,Mumbai Indians,Rising Pune Supergiants,Ben Stokes,Krunal Pandya
2016,Sunrisers Hyderabad,Royal Challengers Bangalore,Virat Kohli,Ben Cutting
2015,Mumbai Indians,Chennai Super Kings,Andre Russell,Rohit Sharma
2014,Kolkata Knight Riders,Kings XI Punjab,Glenn Maxwell,Manish Pandey
2013,Mumbai Indians,Chennai Super Kings,Shane Watson,Kieron Pollard
2012,Kolkata Knight Riders,Chennai Super Kings,Sunil Narine,Manvinder Bisla
2011,Chennai Super Kings,Royal Challengers Bangalore,Chris Gayle,Murali Vijay
2010,Chennai Super Kings,Mumbai Indians,Sachin Tendulkar,Suresh Raina
2009,Deccan Chargers,Royal Challengers Bangalore,Adam Gilchrist,Anil Kumble
2008,Rajasthan Royals ,Chennai Super Kings,Shane Watson,Yusuf Pathan
